N,p,nodes,ppn,trial,seconds,verfication
4000,1,1,12,1,0.018832,yes
4000,1,1,12,2,0.019257,yes
4000,1,1,12,3,0.019353,yes
4000,1,1,12,4,0.019306,yes
4000,1,1,12,5,0.019334,yes
4000,1,1,12,6,0.019274,yes
4000,1,1,12,7,0.019248,yes
4000,1,1,12,8,0.019279,yes
4000,1,1,12,9,0.019273,yes
4000,1,1,12,10,0.019329,yes
4000,1,1,12,Average,0.019248,yes
4000,2,1,12,1,0.013131,yes
4000,2,1,12,2,0.012856,yes
4000,2,1,12,3,0.012698,yes
4000,2,1,12,4,0.012558,yes
4000,2,1,12,5,0.012593,yes
4000,2,1,12,6,0.012568,yes
4000,2,1,12,7,0.012550,yes
4000,2,1,12,8,0.012629,yes
4000,2,1,12,9,0.012674,yes
4000,2,1,12,10,0.012717,yes
4000,2,1,12,Average,0.012697,yes
4000,3,1,12,1,0.012662,yes
4000,3,1,12,2,0.012251,yes
4000,3,1,12,3,0.012169,yes
4000,3,1,12,4,0.012120,yes
4000,3,1,12,5,0.012216,yes
4000,3,1,12,6,0.012200,yes
4000,3,1,12,7,0.012148,yes
4000,3,1,12,8,0.012128,yes
4000,3,1,12,9,0.012117,yes
4000,3,1,12,10,0.012150,yes
4000,3,1,12,Average,0.012216,yes
4000,4,1,12,1,0.011579,yes
4000,4,1,12,2,0.011317,yes
4000,4,1,12,3,0.011065,yes
4000,4,1,12,4,0.011095,yes
4000,4,1,12,5,0.011139,yes
4000,4,1,12,6,0.011082,yes
4000,4,1,12,7,0.011016,yes
4000,4,1,12,8,0.011152,yes
4000,4,1,12,9,0.011097,yes
4000,4,1,12,10,0.011079,yes
4000,4,1,12,Average,0.011162,yes
4000,5,1,12,1,0.010644,yes
4000,5,1,12,2,0.010843,yes
4000,5,1,12,3,0.010153,yes
4000,5,1,12,4,0.010219,yes
4000,5,1,12,5,0.010270,yes
4000,5,1,12,6,0.010452,yes
4000,5,1,12,7,0.010223,yes
4000,5,1,12,8,0.010252,yes
4000,5,1,12,9,0.010239,yes
4000,5,1,12,10,0.010203,yes
4000,5,1,12,Average,0.010350,yes
4000,6,1,12,1,0.010702,yes
4000,6,1,12,2,0.010229,yes
4000,6,1,12,3,0.010700,yes
4000,6,1,12,4,0.010223,yes
4000,6,1,12,5,0.010198,yes
4000,6,1,12,6,0.010476,yes
4000,6,1,12,7,0.010332,yes
4000,6,1,12,8,0.010106,yes
4000,6,1,12,9,0.010055,yes
4000,6,1,12,10,0.010105,yes
4000,6,1,12,Average,0.010313,yes
4000,7,1,12,1,0.010155,yes
4000,7,1,12,2,0.009972,yes
4000,7,1,12,3,0.010648,yes
4000,7,1,12,4,0.009897,yes
4000,7,1,12,5,0.009981,yes
4000,7,1,12,6,0.009980,yes
4000,7,1,12,7,0.009999,yes
4000,7,1,12,8,0.010026,yes
4000,7,1,12,9,0.010015,yes
4000,7,1,12,10,0.010063,yes
4000,7,1,12,Average,0.010074,yes
4000,8,1,12,1,0.010126,yes
4000,8,1,12,2,0.009717,yes
4000,8,1,12,3,0.010745,yes
4000,8,1,12,4,0.009662,yes
4000,8,1,12,5,0.009749,yes
4000,8,1,12,6,0.009727,yes
4000,8,1,12,7,0.009587,yes
4000,8,1,12,8,0.009529,yes
4000,8,1,12,9,0.009636,yes
4000,8,1,12,10,0.009653,yes
4000,8,1,12,Average,0.009813,yes
4000,9,1,12,1,0.009705,yes
4000,9,1,12,2,0.009442,yes
4000,9,1,12,3,0.010555,yes
4000,9,1,12,4,0.009416,yes
4000,9,1,12,5,0.009481,yes
4000,9,1,12,6,0.009480,yes
4000,9,1,12,7,0.009417,yes
4000,9,1,12,8,0.009362,yes
4000,9,1,12,9,0.009497,yes
4000,9,1,12,10,0.009516,yes
4000,9,1,12,Average,0.009587,yes
4000,10,1,12,1,0.009762,yes
4000,10,1,12,2,0.009039,yes
4000,10,1,12,3,0.010783,yes
4000,10,1,12,4,0.009001,yes
4000,10,1,12,5,0.009230,yes
4000,10,1,12,6,0.009161,yes
4000,10,1,12,7,0.009090,yes
4000,10,1,12,8,0.009130,yes
4000,10,1,12,9,0.009169,yes
4000,10,1,12,10,0.009032,yes
4000,10,1,12,Average,0.009340,yes
6000,1,1,12,1,0.046232,yes
6000,1,1,12,2,0.045891,yes
6000,1,1,12,3,0.045990,yes
6000,1,1,12,4,0.046166,yes
6000,1,1,12,5,0.046097,yes
6000,1,1,12,6,0.045999,yes
6000,1,1,12,7,0.048810,yes
6000,1,1,12,8,0.045978,yes
6000,1,1,12,9,0.046314,yes
6000,1,1,12,10,0.046135,yes
6000,1,1,12,Average,0.046361,yes
6000,2,1,12,1,0.042242,yes
6000,2,1,12,2,0.033322,yes
6000,2,1,12,3,0.033414,yes
6000,2,1,12,4,0.033352,yes
6000,2,1,12,5,0.033482,yes
6000,2,1,12,6,0.033331,yes
6000,2,1,12,7,0.033277,yes
6000,2,1,12,8,0.035610,yes
6000,2,1,12,9,0.033949,yes
6000,2,1,12,10,0.033374,yes
6000,2,1,12,Average,0.034535,yes
6000,3,1,12,1,0.028295,yes
6000,3,1,12,2,0.027540,yes
6000,3,1,12,3,0.027009,yes
6000,3,1,12,4,0.026781,yes
6000,3,1,12,5,0.026641,yes
6000,3,1,12,6,0.026990,yes
6000,3,1,12,7,0.026849,yes
6000,3,1,12,8,0.026851,yes
6000,3,1,12,9,0.026754,yes
6000,3,1,12,10,0.029557,yes
6000,3,1,12,Average,0.027327,yes
6000,4,1,12,1,0.026771,yes
6000,4,1,12,2,0.026725,yes
6000,4,1,12,3,0.026195,yes
6000,4,1,12,4,0.026052,yes
6000,4,1,12,5,0.026139,yes
6000,4,1,12,6,0.026054,yes
6000,4,1,12,7,0.026055,yes
6000,4,1,12,8,0.025970,yes
6000,4,1,12,9,0.026010,yes
6000,4,1,12,10,0.026345,yes
6000,4,1,12,Average,0.026231,yes
6000,5,1,12,1,0.024603,yes
6000,5,1,12,2,0.024896,yes
6000,5,1,12,3,0.023321,yes
6000,5,1,12,4,0.023253,yes
6000,5,1,12,5,0.023370,yes
6000,5,1,12,6,0.023209,yes
6000,5,1,12,7,0.023233,yes
6000,5,1,12,8,0.023195,yes
6000,5,1,12,9,0.023422,yes
6000,5,1,12,10,0.023944,yes
6000,5,1,12,Average,0.023645,yes
6000,6,1,12,1,0.024296,yes
6000,6,1,12,2,0.024458,yes
6000,6,1,12,3,0.022716,yes
6000,6,1,12,4,0.022763,yes
6000,6,1,12,5,0.022750,yes
6000,6,1,12,6,0.022889,yes
6000,6,1,12,7,0.022716,yes
6000,6,1,12,8,0.022716,yes
6000,6,1,12,9,0.022847,yes
6000,6,1,12,10,0.022977,yes
6000,6,1,12,Average,0.023113,yes
6000,7,1,12,1,0.023571,yes
6000,7,1,12,2,0.024353,yes
6000,7,1,12,3,0.022342,yes
6000,7,1,12,4,0.022411,yes
6000,7,1,12,5,0.022499,yes
6000,7,1,12,6,0.022364,yes
6000,7,1,12,7,0.022559,yes
6000,7,1,12,8,0.022948,yes
6000,7,1,12,9,0.022390,yes
6000,7,1,12,10,0.024634,yes
6000,7,1,12,Average,0.023007,yes
6000,8,1,12,1,0.023933,yes
6000,8,1,12,2,0.024634,yes
