N,threads,trial,seconds,std_seconds,validate
500,1,1,0.039720,,OK
500,1,2,0.038952,,OK
500,1,3,0.038804,,OK
500,1,4,0.038693,,OK
500,1,5,0.038731,,OK
500,1,6,0.038600,,OK
500,1,7,0.039316,,OK
500,1,8,0.039903,,OK
500,1,9,0.039476,,OK
500,1,10,0.038533,,OK
500,1,Average,0.039073,0.000468,OK
500,2,1,0.021622,,OK
500,2,2,0.020801,,OK
500,2,3,0.020237,,OK
500,2,4,0.020747,,OK
500,2,5,0.019961,,OK
500,2,6,0.019725,,OK
500,2,7,0.020021,,OK
500,2,8,0.021448,,OK
500,2,9,0.021076,,OK
500,2,10,0.020007,,OK
500,2,Average,0.020565,0.000635,OK
500,3,1,0.014242,,OK
500,3,2,0.013156,,OK
500,3,3,0.013272,,OK
500,3,4,0.013944,,OK
500,3,5,0.013164,,OK
500,3,6,0.012967,,OK
500,3,7,0.013363,,OK
500,3,8,0.014645,,OK
500,3,9,0.014182,,OK
500,3,10,0.013257,,OK
500,3,Average,0.013619,0.000550,OK
500,4,1,0.010851,,OK
500,4,2,0.009833,,OK
500,4,3,0.010147,,OK
500,4,4,0.010779,,OK
500,4,5,0.009909,,OK
500,4,6,0.009746,,OK
500,4,7,0.010147,,OK
500,4,8,0.011341,,OK
500,4,9,0.010947,,OK
500,4,10,0.010056,,OK
500,4,Average,0.010375,0.000526,OK
500,5,1,0.008947,,OK
500,5,2,0.007874,,OK
500,5,3,0.008190,,OK
500,5,4,0.008751,,OK
500,5,5,0.007951,,OK
500,5,6,0.007824,,OK
500,5,7,0.008177,,OK
500,5,8,0.009438,,OK
500,5,9,0.009204,,OK
500,5,10,0.008872,,OK
500,5,Average,0.008523,0.000559,OK
500,6,1,0.007701,,OK
500,6,2,0.006597,,OK
500,6,3,0.006927,,OK
500,6,4,0.007501,,OK
500,6,5,0.006678,,OK
500,6,6,0.006535,,OK
500,6,7,0.006925,,OK
500,6,8,0.008135,,OK
500,6,9,0.007740,,OK
500,6,10,0.006853,,OK
500,6,Average,0.007159,0.000533,OK
500,7,1,0.006788,,OK
500,7,2,0.005673,,OK
500,7,3,0.006010,,OK
500,7,4,0.006612,,OK
500,7,5,0.005762,,OK
500,7,6,0.005617,,OK
500,7,7,0.005992,,OK
500,7,8,0.007181,,OK
500,7,9,0.006777,,OK
500,7,10,0.005950,,OK
500,7,Average,0.006236,0.000524,OK
500,8,1,0.006029,,OK
500,8,2,0.004970,,OK
500,8,3,0.005346,,OK
500,8,4,0.005931,,OK
500,8,5,0.005133,,OK
500,8,6,0.004972,,OK
