N,p,nodes,ppn,trial,seconds
499999999,1,1,1,1,8.91417
499999999,1,1,1,2,8.91285
499999999,1,1,1,3,8.91255
499999999,1,1,1,4,8.91294
499999999,1,1,1,5,8.9149
499999999,1,1,1,6,8.91172
499999999,1,1,1,7,8.91379
499999999,1,1,1,8,8.91354
499999999,1,1,1,9,8.9119
499999999,1,1,1,10,8.91221
499999999,1,1,1,Average,8.91306
499999999,2,2,1,1,4.45976
499999999,2,2,1,2,4.4563
499999999,2,2,1,3,4.45606
499999999,2,2,1,4,4.45591
499999999,2,2,1,5,4.4562
499999999,2,2,1,6,4.4567
499999999,2,2,1,7,4.45629
499999999,2,2,1,8,4.45624
499999999,2,2,1,9,4.45603
499999999,2,2,1,10,4.45605
499999999,2,2,1,Average,4.45655
499999999,3,3,1,1,2.97174
499999999,3,3,1,2,2.97084
499999999,3,3,1,3,2.97092
499999999,3,3,1,4,2.97096
499999999,3,3,1,5,2.97148
499999999,3,3,1,6,2.9713
499999999,3,3,1,7,2.97055
499999999,3,3,1,8,2.97091
499999999,3,3,1,9,2.97068
499999999,3,3,1,10,2.971
499999999,3,3,1,Average,2.97104
499999999,4,4,1,1,2.22875
499999999,4,4,1,2,2.22839
499999999,4,4,1,3,2.22885
499999999,4,4,1,4,2.22809
499999999,4,4,1,5,2.22861
499999999,4,4,1,6,2.22829
499999999,4,4,1,7,2.22855
499999999,4,4,1,8,2.2281
499999999,4,4,1,9,2.2279
499999999,4,4,1,10,2.2286
499999999,4,4,1,Average,2.22841
499999999,5,5,1,1,1.78307
499999999,5,5,1,2,1.78295
499999999,5,5,1,3,1.78269
499999999,5,5,1,4,1.78252
499999999,5,5,1,5,1.78248
499999999,5,5,1,6,1.78249
499999999,5,5,1,7,1.78245
499999999,5,5,1,8,1.78268
499999999,5,5,1,9,1.78262
499999999,5,5,1,10,1.78249
499999999,5,5,1,Average,1.78264
499999999,6,6,1,1,1.48605
499999999,6,6,1,2,1.48582
499999999,6,6,1,3,1.48594
499999999,6,6,1,4,1.48548
499999999,6,6,1,5,1.48535
499999999,6,6,1,6,1.48652
499999999,6,6,1,7,1.48541
499999999,6,6,1,8,1.48526
499999999,6,6,1,9,1.48555
499999999,6,6,1,10,1.48523
499999999,6,6,1,Average,1.48566
499999999,7,7,1,1,1.27468
499999999,7,7,1,2,1.27329
499999999,7,7,1,3,1.27344
499999999,7,7,1,4,1.27333
499999999,7,7,1,5,1.27332
499999999,7,7,1,6,1.27329
499999999,7,7,1,7,1.27327
499999999,7,7,1,8,1.27444
499999999,7,7,1,9,1.27485
499999999,7,7,1,10,1.27508
499999999,7,7,1,Average,1.2739
499999999,8,8,1,1,1.11588
499999999,8,8,1,2,1.1143
499999999,8,8,1,3,1.11437
499999999,8,8,1,4,1.11401
499999999,8,8,1,5,1.11449
499999999,8,8,1,6,1.11405
499999999,8,8,1,7,1.11416
499999999,8,8,1,8,1.11396
499999999,8,8,1,9,1.1141
499999999,8,8,1,10,1.11427
499999999,8,8,1,Average,1.11436
499999999,9,9,1,1,0.995053
499999999,9,9,1,2,0.994514
499999999,9,9,1,3,0.994648
499999999,9,9,1,4,0.994407
499999999,9,9,1,5,0.994445
499999999,9,9,1,6,0.994542
499999999,9,9,1,7,0.994446
499999999,9,9,1,8,0.994472
499999999,9,9,1,9,0.994508
499999999,9,9,1,10,0.994552
499999999,9,9,1,Average,0.994559
499999999,10,10,1,1,0.891825
499999999,10,10,1,2,0.891578
499999999,10,10,1,3,0.891905
499999999,10,10,1,4,0.891406
499999999,10,10,1,5,0.891329
499999999,10,10,1,6,0.891431
499999999,10,10,1,7,0.891532
499999999,10,10,1,8,0.891745
499999999,10,10,1,9,0.891325
499999999,10,10,1,10,0.891322
499999999,10,10,1,Average,0.89154
