Threads, Result, Time
1, 1365.33, 0.648769
1, 1365.33, 0.648603
1, 1365.33, 0.648586
1, 1365.33, 0.648614
1, 1365.33, 0.648597
1, 1365.33, 0.648535
1, 1365.33, 0.648578
1, 1365.33, 0.648599
1, 1365.33, 0.648626
1, 1365.33, 0.648576
2, 1365.33, 0.324407
2, 1365.33, 0.324337
2, 1365.33, 0.324352
2, 1365.33, 0.324378
2, 1365.33, 0.324365
2, 1365.33, 0.324356
2, 1365.33, 0.324337
2, 1365.33, 0.324347
2, 1365.33, 0.32432
2, 1365.33, 0.324327
3, 1365.33, 0.216286
3, 1365.33, 0.216236
3, 1365.33, 0.216227
3, 1365.33, 0.216228
3, 1365.33, 0.216252
3, 1365.33, 0.216223
3, 1365.33, 0.216228
3, 1365.33, 0.216223
3, 1365.33, 0.216239
3, 1365.33, 0.216242
4, 1365.33, 0.162267
4, 1365.33, 0.162171
4, 1365.33, 0.16217
4, 1365.33, 0.162173
4, 1365.33, 0.162164
4, 1365.33, 0.162203
4, 1365.33, 0.162172
4, 1365.33, 0.16217
4, 1365.33, 0.162332
4, 1365.33, 0.162305
5, 1365.33, 0.12994
5, 1365.33, 0.129784
5, 1365.33, 0.129778
5, 1365.33, 0.129775
5, 1365.33, 0.129801
5, 1365.33, 0.130633
5, 1365.33, 0.131189
5, 1365.33, 0.129769
5, 1365.33, 0.129738
5, 1365.33, 0.129733
6, 1365.33, 0.10818
6, 1365.33, 0.108873
6, 1365.33, 0.108114
6, 1365.33, 0.108134
6, 1365.33, 0.10815
6, 1365.33, 0.10812
6, 1365.33, 0.108333
6, 1365.33, 0.108135
6, 1365.33, 0.108115
6, 1365.33, 0.108235
7, 1365.33, 0.092743
7, 1365.33, 0.092924
7, 1365.33, 0.092789
7, 1365.33, 0.092846
7, 1365.33, 0.092682
7, 1365.33, 0.09317
7, 1365.33, 0.093675
7, 1365.33, 0.092674
7, 1365.33, 0.092678
7, 1365.33, 0.09268
8, 1365.33, 0.081149
8, 1365.33, 0.0811
8, 1365.33, 0.081108
8, 1365.33, 0.081097
8, 1365.33, 0.081091
8, 1365.33, 0.0811
8, 1365.33, 0.081733
8, 1365.33, 0.082241
8, 1365.33, 0.081099
8, 1365.33, 0.081097
9, 1365.33, 0.072174
9, 1365.33, 0.072121
9, 1365.33, 0.072168
9, 1365.33, 0.072122
9, 1365.33, 0.072121
9, 1365.33, 0.072111
9, 1365.33, 0.072135
9, 1365.33, 0.072123
9, 1365.33, 0.072573
9, 1365.33, 0.072219
10, 1365.33, 0.064973
10, 1365.33, 0.064921
10, 1365.33, 0.065022
10, 1365.33, 0.064922
10, 1365.33, 0.064911
10, 1365.33, 0.064916
10, 1365.33, 0.06492
10, 1365.33, 0.064972
10, 1365.33, 0.064916
10, 1365.33, 0.06492
11, 1365.33, 0.059074
11, 1365.33, 0.059009
11, 1365.33, 0.059022
11, 1365.33, 0.059
11, 1365.33, 0.059016
11, 1365.33, 0.059691
11, 1365.33, 0.05901
11, 1365.33, 0.059041
11, 1365.33, 0.059012
11, 1365.33, 0.059494
12, 1365.33, 0.054155
12, 1365.33, 0.054096
12, 1365.33, 0.054642
12, 1365.33, 0.054109
12, 1365.33, 0.054408
12, 1365.33, 0.054433
12, 1365.33, 0.05409
12, 1365.33, 0.054088
12, 1365.33, 0.054095
12, 1365.33, 0.054101
